depto,poblacion,superf,densidad,cta_ah_trad_act,cta_ah_elec_act, desemb_25y125 , desemb_0y25 
Bogota,7878783,1587,4964.57656,6095232.964,138373,28623837455,42645805096
Valle del Cauca,4613684,22140,208.3868112,2441028.492,156357,14918474230,39368151712
Antioquia,6456299,63612,101.4949852,4327415.312,136811,19573868970,33464869896
Cundinamarca,2680041,22633,118.412981,1155754.703,81347,12418311563,25707165071
Nari–o,1744228,33268,52.42960202,623324.3103,147997,7931938017,28863213503
Tolima,1408272,23562,59.76878024,631735.8127,34020,6324078507,21368135759
Boyaca,1276407,23189,55.04364138,595267.4677,70387,10327557698,16375363128
Santander,2061079,30537,67.4944821,1391187.564,104674,10151932630,15867333192
Huila,1154777,19890,58.05816993,744428.6661,24966,5932589055,19756605220
Cauca,1379169,29308,47.0577658,474656.4371,114597,3726017840,20643242581
Meta,961334,85635,11.22594733,502417.3063,61817,5058587561,16300408059
Atlantico,2460863,3388,726.3468123,1084560.324,133385,4100117646,16178318684
Cordoba,1709644,25020,68.33109512,565811.6075,187746,3407462920,14938730848
Bolivar,2097161,25978,80.72834706,667641.4779,64091,3762178483,11277232501
Norte de Santander,1355787,21658,62.59982455,620085.1653,59386,5736490758,8146174796
Caldas,987991,7888,125.2524087,503500.1235,33577,2379538356,8099123344
Cesar,1028890,22905,44.91988649,402357.0989,99513,2504247732,7592414924
Magdalena,1259822,23188,54.33077454,500061.5096,21524,1641019076,7677007516
Risaralda,951953,4140,229.9403382,287295.8866,92265,1945832783,7137567099
Sucre,851515,10917,77.9989924,287024.4186,21753,1525085975,6994397893
Casanare,356479,44640,7.985640681,185470.5578,11519,1669510891,5666797123
Quindio,565310,1845,306.401084,287024.4186,21753,1216801451,5359446775
Caqueta,477642,30537,15.64141861,156694.7925,47645,2131018340,8099123344
Putumayo,345204,24885,13.87197107,130921.5484,36144,1087564514,4433022657
La Guajira,957797,20848,45.94191289,202559.5593,45886,923149671,3987178463
Choco,500093,46530,10.74775414,98022.12201,13356,618000876,2564987484
Arauca,262315,23818,11.01330926,95098.08057,25315,1005850500,1691343575
Guaviare,111060,53460,2.077441077,34852.71504,10394,180768000,832554626
"San Andres, Providencia and Santa Catalina",76442,52,1470.038462,42676.59939,2593,133400000,309200000
Guainia,41482,72238,0.574240704,11611.14513,110,186933000,97428282
Vaupes,43665,54135,0.806594625,4905.786884,168,40189000,158937444
Vichada,71974,100242,0.718002434,13653.98082,2255,165516448,32179112
Amazonas,76243,109665,0.69523549,14097.82023,194,0,43269000